"","state","Clinton","Trump","R.D"
"1","Alabama",35.62585641,64.37414359,"R"
"2","Alaska",41.61434529,58.38565471,"R"
"3","Arizona",48.1099766,51.8900234,"R"
"4","Arkansas",35.71486231,64.28513769,"R"
"5","California",66.12822054,33.87177946,"D"
"6","Colorado",52.68333337,47.31666663,"D"
"7","Connecticut",57.14154752,42.85845248,"D"
"8","Delaware",55.99862144,44.00137856,"D"
"9","Florida",49.38116453,50.61883547,"R"
"10","Georgia",47.3388274,52.6611726,"R"
"11","Hawaii",67.44133745,32.55866255,"D"
"12","Idaho",31.68982332,68.31017668,"R"
"13","Illinois",59.02005139,40.97994861,"D"
"14","Indiana",39.88269048,60.11730952,"R"
"15","Iowa",44.93645215,55.06354785,"R"
"16","Kansas",38.88852966,61.11147034,"R"
"17","Kentucky",34.32937098,65.67062902,"R"
"18","Louisiana",39.82832276,60.17167724,"R"
"19","Maine",51.59679113,48.40320887,"D"
"20","Maryland",64.01624968,35.98375032,"D"
"21","Massachusetts",64.65127869,35.34872131,"D"
"22","Michigan",49.88233178,50.11766822,"R"
"23","Minnesota",50.82854061,49.17145939,"D"
"24","Mississippi",40.91015268,59.08984732,"R"
"25","Missouri",40.181439,59.818561,"R"
"26","Montana",38.89033568,61.10966432,"R"
"27","Nebraska",36.45232589,63.54767411,"R"
"28","Nevada",51.29370942,48.70629058,"D"
"29","New Hampshire",50.19702844,49.80297156,"D"
"30","New Jersey",57.28419014,42.71580986,"D"
"31","New Mexico",54.65079493,45.34920507,"D"
"32","New York",61.77244118,38.22755882,"D"
"33","North Carolina",48.0962542,51.9037458,"R"
"34","North Dakota",30.1907571,69.8092429,"R"
"35","Ohio",45.73231542,54.26768458,"R"
"36","Oklahoma",30.69526276,69.30473724,"R"
"37","Oregon",56.15583895,43.84416105,"D"
"38","Pennsylvania",49.62446419,50.37553581,"R"
"39","Rhode Island",58.31070409,41.68929591,"D"
"40","South Carolina",42.53974364,57.46025636,"R"
"41","South Dakota",34.02814192,65.97185808,"R"
"42","Tennessee",36.37565695,63.62434305,"R"
"43","Texas",45.28677442,54.71322558,"R"
"44","Utah",37.61634179,62.38365821,"R"
"45","Vermont",65.18642632,34.81357368,"D"
"46","Virginia",52.82637628,47.17362372,"D"
"47","Washington",58.7869312,41.2130688,"D"
"48","West Virginia",27.83894775,72.16105225,"R"
"49","Wisconsin",49.59201096,50.40798904,"R"
"50","Wyoming",24.29468037,75.70531963,"R"
"51","Washington DC",95.69518834,4.304811658,"D"
