file,line_number,word
1,1,project
1,1,proposal
1,2,social
1,2,media
1,2,group
1,2,1
1,4,group
1,4,members
1,4,kasie
1,4,apo
1,4,takayama
1,4,taylor
1,4,fogg
1,4,rakina
1,4,imam
1,4,aman
1,4,mantena
1,4,mariana
1,4,olvera
1,4,alexa
1,4,delgado
1,6,description
1,6,of
1,6,the
1,6,program
1,6,we
1,6,plan
1,6,on
1,6,conducting
1,6,an
1,6,analysis
1,6,of
1,6,diversity
1,6,and
1,6,attempts
1,6,to
1,6,improve
1,6,diversity
1,6,in
1,6,the
1,6,workplace
1,6,at
1,6,the
1,6,facebook
1,6,instagram
1,6,pinterest
1,6,and
1,6,twitter
1,6,new
1,6,york
1,6,offices
1,6,sites
1,6,such
1,6,as
1,6,twitter
1,6,and
1,6,pinterest
1,6,have
1,6,hired
1,6,chiefs
1,6,of
1,6,diversity
1,6,in
1,6,order
1,6,to
1,6,help
1,6,with
1,6,diversity
1,6,efforts
1,6,and
1,6,we
1,6,will
1,6,see
1,6,if
1,6,these
1,6,effort
1,6,have
1,6,proven
1,6,effective
1,6,or
1,6,not
1,6,pinterest
1,6,has
1,6,also
1,6,implemented
1,6,the
1,6,rooney
1,6,rule
1,6,requirement
1,6,in
1,6,an
1,6,effort
1,6,to
1,6,hire
1,6,more
1,6,minority
1,6,employees
1,7,questions
1,7,do
1,7,you
1,7,keep
1,7,data
1,7,on
1,7,your
1,7,employees
1,7,demographics
1,7,is
1,7,diversity
1,7,a
1,7,factor
1,7,when
1,7,recruiting
1,7,and
1,7,selecting
1,7,employees
1,7,and
1,7,interns
1,7,have
1,7,you
1,7,implemented
1,7,any
1,7,projects
1,7,to
1,7,improve
1,7,workplace
1,7,diversity
1,7,if
1,7,so
1,7,how
1,7,what
1,7,were
1,7,the
1,7,results
1,7,if
1,7,not
1,7,why
1,7,do
1,7,special
1,7,networks
1,7,for
1,7,ethnic
1,7,and
1,7,gender
1,7,groups
1,7,exist
1,7,in
1,7,your
1,7,company
1,7,overall
1,7,or
1,7,in
1,7,your
1,7,office
1,7,if
1,7,so
1,7,how
1,7,many
1,7,and
1,7,what
1,7,kinds
1,7,how
1,7,do
1,7,your
1,7,employees
1,7,reflect
1,7,your
1,7,user
1,7,base
1,8,strategy
1,8,we
1,8,will
1,8,interview
1,8,a
1,8,leader
1,8,in
1,8,data
1,8,analysis
1,8,or
1,8,recruiting
1,8,during
1,8,our
1,8,tour
1,8,of
1,8,the
1,8,site
1,8,we
1,8,will
1,8,analyze
1,8,how
1,8,office
1,8,space
1,8,reflects
1,8,the
1,8,attempts
1,8,to
1,8,make
1,8,the
1,8,office
1,8,more
1,8,comfortable
1,8,for
1,8,the
1,8,diverse
1,8,population
1,9,theoretical
1,9,basis
1,9,for
1,9,project
1,9,the
1,9,theoretical
1,9,basis
1,9,of
1,9,this
1,9,project
1,9,is
1,9,based
1,9,upon
1,9,the
1,10,question
1,10,of
1,10,ethnic
1,10,and
1,10,gender
1,10,diversity
1,10,in
1,10,the
1,10,workplace
1,10,and
1,10,user
1,10,base
1,10,of
1,10,various
1,10,social
1,10,media
1,10,outlets
1,10,we
1,10,chose
1,10,facebook
1,10,instagram
1,10,pinterest
1,10,and
1,10,twitter
1,10,because
1,10,of
1,10,the
1,10,similarities
1,10,in
1,10,nature
1,10,of
1,10,their
1,10,user
1,10,outreach
1,10,each
1,10,has
1,10,a
1,10,large
1,10,self
1,10,promotion
1,10,component
1,10,especially
1,10,facebook
1,10,instagram
1,10,and
1,10,twitter
1,10,likewise
1,10,the
1,10,presentation
1,10,newsfeeds
1,10,of
1,10,facebook
1,10,and
1,10,twitter
1,10,are
1,10,similar
1,10,while
1,10,pinterest
1,10,and
1,10,instagram
1,10,have
1,10,a
1,10,more
1,10,scrolling
1,10,visually
1,10,stimulating
1,10,appeal
1,10,we
1,10,have
1,10,data
1,10,on
1,10,the
1,10,demographic
1,10,makeup
1,10,of
1,10,company
1,10,employees
1,10,and
1,10,users
1,10,and
1,10,are
1,10,looking
1,10,to
1,10,identify
1,10,the
1,10,specific
1,10,programs
1,10,that
1,10,promote
1,10,diversity
1,10,within
1,10,each
1,10,of
1,10,the
1,10,new
1,10,york
1,10,offices
1,10,we
1,10,will
1,10,then
1,10,compare
1,10,and
1,10,contrast
1,10,these
1,10,programs
1,12,relevant
1,12,literature
1,13,social
1,13,media
1,13,user
1,13,demographics
1,14,http
1,14,sproutsocial.com
1,14,insights
1,14,new
1,14,social
1,14,media
1,14,demographics
1,15,http
1,15,www.pewinternet.org
1,15,2015
1,15,1
1,15,9
1,15,demographics
1,15,of
1,15,key
1,15,social
1,15,networking
1,16,platforms
1,16,2
1,17,benefits
1,17,of
1,17,workplace
1,17,diversity
1,18,http
1,18,www.forbes.com
1,18,sites
1,18,ekaterinawalter
1,18,2014
1,18,1
1,18,14
1,18,reaping
1,18,the
1,18,benefits
1,18,of
1,18,diversity
1,18,for
1,18,modern
1,18,business
1,18,innovation
1,18,1c1856e66476
1,19,http
1,19,www.ethnoconnect.com
1,19,articles
1,19,9
1,19,business
1,19,advantages
1,19,of
1,19,diversity
1,19,in
1,19,the
1,19,work
1,19,place
1,21,contact
1,21,information
1,21,facebook
1,21,instagram
1,21,770
1,21,broadway
1,21,head
1,21,of
1,21,diversity
1,21,maxine
1,21,williams
1,21,pinterest
1,21,475
1,21,5th
1,21,ave
1,21,email
1,21,press
1,21,pinterest.com
1,21,head
1,21,of
1,21,diversity
1,21,candice
1,21,morgan
1,21,twitter
1,21,245
1,21,west
1,21,17th
1,21,street
1,21,head
1,21,of
1,21,diversity
1,21,jeffrey
1,21,siminoff
1,23,introductory
1,23,email
1,25,greetings
1,27,my
1,27,name
1,27,is
1,27,and
1,27,i
1,27,am
1,27,a
1,27,psychology
1,27,student
1,27,at
1,27,columbia
1,27,university
1,27,conducting
1,27,a
1,27,group
1,27,study
1,27,on
1,27,diversity
1,27,in
1,27,social
1,27,media
1,27,offices
1,27,throughout
1,27,new
1,27,york
1,27,city
1,27,for
1,27,our
1,27,study
1,27,my
1,27,group
1,27,and
1,27,i
1,27,are
1,27,looking
1,27,to
1,27,interview
1,27,the
1,27,head
1,27,of
1,27,diversity
1,27,or
1,27,data
1,27,analyst
1,27,for
1,27,your
1,27,company
1,27,and
1,27,or
1,27,schedule
1,27,a
1,27,visit
1,27,to
1,27,your
1,27,nyc
1,27,office
1,27,in
1,27,order
1,27,to
1,27,observe
1,27,behaviors
1,28,in
1,28,the
1,28,workplace
1,28,that
1,28,being
1,28,said
1,28,we
1,28,would
1,28,love
1,28,to
1,28,coordinate
1,28,a
1,28,meeting
1,28,to
1,28,come
1,28,to
1,28,your
1,29,office
1,29,if
1,29,possible
1,29,please
1,29,advise
1,29,if
1,29,there
1,29,is
1,29,another
1,29,advisor
1,29,or
1,29,employee
1,29,that
1,29,we
1,29,should
1,29,forward
1,29,our
1,29,pursuits
1,29,to
1,29,we
1,29,look
1,29,forward
1,29,to
1,29,working
1,29,with
1,31,best
2,9,cultural
2,9,psych
2,9,group
2,9,project
2,10,proposal
2,10,to
2,10,investigate
2,10,cultural
2,10,diversity
2,10,within
2,10,kaplan
2,10,inc
2,10,a
2,10,standardized
2,10,test
2,10,prep
2,10,firm
2,14,group
2,14,2
2,15,team
2,15,social
2,15,media
2,15,education
2,16,aris
2,16,prince
2,17,julia
2,17,lai
2,18,nathan
2,18,kung
2,19,maliha
2,19,sultana
2,55,introduction
2,55,of
2,55,company
2,55,and
2,55,description
2,55,of
2,55,programs
2,56,kaplan
2,56,is
2,56,a
2,56,for
2,56,profit
2,56,organization
2,56,that
2,56,has
2,56,provided
2,56,test
2,56,prep
2,56,for
2,56,various
2,56,professional
2,56,programs
2,56,and
2,56,standardized
2,56,tests
2,56,for
2,56,the
2,56,past
2,56,75
2,56,years
2,56,with
2,56,its
2,56,headquarters
2,56,in
2,56,fort
2,56,lauderdale
2,56,florida
2,56,kaplan
2,56,operates
2,56,across
2,56,the
2,56,united
2,56,states
2,56,as
2,56,well
2,56,as
2,56,overseas
2,56,its
2,56,international
2,56,division
2,56,conducts
2,56,services
2,56,in
2,56,europe
2,56,and
2,56,the
2,56,asia
2,56,pacific
2,56,region
2,56,our
2,56,project
2,56,will
2,56,focus
2,56,on
2,56,kaplan
2,56,s
2,56,test
2,56,prep
2,56,division
2,56,which
2,56,prepares
2,56,students
2,56,for
2,56,standardized
2,56,testing
2,56,using
2,56,a
2,56,variety
2,56,of
2,56,online
2,56,and
2,56,physical
2,56,classes
2,56,as
2,56,well
2,56,as
2,56,printed
2,56,materials
2,56,in
2,56,its
2,56,mission
2,56,statement
2,56,kaplan
2,56,promises
2,56,five
2,56,core
2,56,values
2,56,integrity
2,56,support
2,56,knowledge
2,56,opportunity
2,56,and
2,56,results
2,56,kaplan
2,56,assures
2,56,that
2,56,it
2,56,gives
2,56,you
2,56,the
2,56,tools
2,56,you
2,56,need
2,56,to
2,56,succeed
2,56,and
2,56,promises
2,56,to
2,56,open
2,56,doors
2,56,and
2,56,broaden
2,56,access
2,56,to
2,56,education
2,56,in
2,56,our
2,56,study
2,56,we
2,56,aim
2,56,to
2,56,investigate
2,56,how
2,56,if
2,56,at
2,56,all
2,56,kaplan
2,56,tailors
2,56,its
2,56,resources
2,56,to
2,56,address
2,56,the
2,56,needs
2,56,of
2,56,its
2,56,diverse
2,56,customer
2,56,base
2,56,as
2,56,it
2,56,caters
2,56,to
2,56,students
2,56,in
2,56,the
2,56,us
2,56,and
2,56,abroad
2,58,questions
2,59,we
2,59,have
2,59,five
2,59,primary
2,59,umbrella
2,59,questions
2,59,that
2,59,we
2,59,plan
2,59,to
2,59,investigate
2,59,at
2,59,kaplan
2,59,they
2,59,are
2,59,listed
2,59,here
2,60,1
2,60,how
2,60,has
2,60,kaplan
2,60,tailored
2,60,their
2,60,most
2,60,widely
2,60,used
2,60,programs
2,60,to
2,60,target
2,60,issues
2,60,of
2,60,cultural
2,61,diversity
2,61,in
2,61,teaching
2,61,and
2,61,learning
2,62,2
2,62,what
2,62,are
2,62,some
2,62,of
2,62,the
2,62,services
2,62,that
2,62,kaplan
2,62,has
2,62,that
2,62,may
2,62,specifically
2,62,serve
2,62,to
2,62,target
2,62,issues
2,63,of
2,63,cultural
2,63,diversity
2,64,3
2,64,how
2,64,does
2,64,kaplan
2,64,support
2,64,a
2,64,diverse
2,64,customer
2,64,market
2,64,to
2,64,tackle
2,64,issues
2,64,within
2,64,standardized
2,65,testing
2,66,4
2,66,how
2,66,does
2,66,kaplan
2,66,s
2,66,organizational
2,66,structure
2,66,reflect
2,66,the
2,66,diversity
2,66,it
2,66,claims
2,66,to
2,66,represent
2,67,5
2,67,one
2,67,of
2,67,kaplan
2,67,s
2,67,mission
2,67,statements
2,67,on
2,67,their
2,67,website
2,67,states
2,67,we
2,67,open
2,67,doors
2,67,and
2,67,broaden
2,68,access
2,68,to
2,68,education
2,68,what
2,68,exactly
2,68,does
2,68,kaplan
2,68,mean
2,68,by
2,68,this
2,68,and
2,68,what
2,68,are
2,68,the
2,68,measures
2,69,they
2,69,have
2,69,undertaken
2,69,to
2,69,support
2,69,this
2,69,mission
2,71,strategy
2,71,and
2,71,feasibility
2,71,plan
2,72,we
2,72,plan
2,72,to
2,72,conduct
2,72,our
2,72,research
2,72,via
2,72,in
2,72,person
2,72,and
2,72,phone
2,72,interviews
2,72,in
2,72,kaplan
2,72,s
2,72,corporate
2,72,office
2,72,in
2,72,new
2,72,york
2,72,as
2,72,well
2,72,as
2,72,conduct
2,72,interviews
2,72,and
2,72,observational
2,72,research
2,72,at
2,72,their
2,72,various
2,72,teaching
2,72,sites
2,72,in
2,72,the
2,72,city
2,72,in
2,72,regards
2,72,to
2,72,obtaining
2,72,data
2,72,we
2,72,feel
2,72,the
2,72,most
2,72,plausible
2,72,plan
2,72,is
2,72,to
2,72,gather
2,72,primarily
2,72,qualitative
2,72,data
2,72,from
2,72,both
2,72,sites
2,72,via
2,72,interviews
2,72,in
2,72,tandem
2,72,with
2,72,quantitative
2,72,data
2,72,accessible
2,72,online
2,72,from
2,72,there
2,72,we
2,72,can
2,72,analyze
2,72,consistencies
2,72,and
2,72,discrepancies
2,72,across
2,72,the
2,72,different
2,72,settings
2,72,and
2,72,observe
2,72,the
2,72,implications
2,72,of
2,72,the
2,72,results
2,72,on
2,72,variables
2,72,such
2,72,as
2,72,kaplan
2,72,s
2,72,brand
2,72,image
2,72,and
2,72,their
2,72,student
2,72,performance
2,72,if
2,72,possible
2,72,we
2,72,also
2,72,plan
2,72,to
2,72,contact
2,72,kaplan
2,72,international
2,72,an
2,72,entity
2,72,overseeing
2,72,europe
2,72,and
2,72,pacific
2,72,asia
2,72,offices
2,72,and
2,72,juxtapose
2,72,their
2,72,organizational
2,72,structure
2,72,and
2,72,services
2,72,with
2,72,those
2,72,in
2,72,new
2,72,york
2,72,we
2,72,plan
2,72,on
2,72,first
2,72,reaching
2,72,out
2,72,to
2,72,people
2,72,in
2,72,the
2,72,corporate
2,72,office
2,72,located
2,72,in
2,72,new
2,72,york
2,72,however
2,72,if
2,72,people
2,72,are
2,72,unresponsive
2,72,or
2,72,unwilling
2,72,to
2,72,respond
2,72,to
2,72,us
2,72,we
2,72,will
2,72,proceed
2,72,to
2,72,focus
2,72,on
2,72,more
2,72,localized
2,72,kaplan
2,72,locations
2,72,i.e
2,72,specific
2,72,kaplan
2,72,test
2,72,prep
2,72,centers
2,74,literature
2,74,review
2,75,in
2,75,stereotype
2,75,threat
2,75,and
2,75,the
2,75,intellectual
2,75,test
2,75,performance
2,75,of
2,75,african
2,75,americans
2,75,aronson
2,75,and
2,75,steele
2,75,study
2,75,how
2,75,the
2,75,pressure
2,75,of
2,75,stereotype
2,75,threat
2,75,causes
2,75,black
2,75,students
2,75,to
2,75,underperform
2,75,in
2,75,tests
2,75,brescia
2,75,and
2,75,fortune
2,75,s
2,75,standardized
2,75,testing
2,75,of
2,75,american
2,75,indian
2,75,students
2,75,studies
2,75,the
2,75,failure
2,75,of
2,75,american
2,75,indians
2,75,to
2,75,exhibit
2,75,successful
2,75,test
2,75,taking
2,75,behaviors
2,75,due
2,75,to
2,75,underlying
2,75,cultural
2,75,reasons
2,75,boaler
2,75,s
2,75,when
2,75,learning
2,75,no
2,75,longer
2,75,matters
2,75,standardized
2,75,testing
2,75,and
2,75,the
2,75,creation
2,75,of
2,75,inequality
2,75,was
2,75,a
2,75,study
2,75,done
2,75,at
2,75,a
2,75,california
2,75,high
2,75,school
2,75,serving
2,75,low
2,75,income
2,75,students
2,75,with
2,75,many
2,75,ethnicities
2,75,which
2,75,had
2,75,been
2,75,designated
2,75,by
2,75,the
2,75,state
2,75,as
2,75,underperforming
2,75,due
2,75,to
2,75,low
2,75,standardized
2,75,testing
2,75,results
2,75,even
2,75,though
2,75,the
2,75,students
2,75,consistently
2,75,outperform
2,75,students
2,75,from
2,75,other
2,75,schools
2,75,in
2,75,non
2,75,standardized
2,75,assessments
2,75,in
2,75,state
2,75,standardized
2,75,testing
2,75,programs
2,75,friend
2,75,or
2,75,foe
2,75,of
2,75,gifted
2,75,education
2,75,research
2,75,was
2,75,done
2,75,on
2,75,the
2,75,effects
2,75,of
2,75,state
2,75,standardized
2,75,tests
2,75,on
2,75,the
2,75,teaching
2,75,practices
2,75,of
2,75,teachers
2,75,which
2,75,found
2,75,that
2,75,teachers
2,75,used
2,75,a
2,75,one
2,75,size
2,75,fits
2,75,all
2,75,approach
2,75,rather
2,75,than
2,75,effectively
2,75,engaging
2,75,the
2,75,students
2,75,the
2,75,study
2,75,on
2,75,student
2,75,diversity
2,75,and
2,75,secondary
2,75,school
2,75,change
2,75,in
2,75,a
2,75,context
2,75,of
2,75,increasingly
2,75,standardized
2,75,reform
2,75,looks
2,75,at
2,75,the
2,75,effects
2,75,of
2,75,three
2,75,decades
2,75,of
2,75,standardization
2,75,within
2,75,racially
2,75,diverse
2,75,schools
2,75,and
2,75,suggests
2,75,reform
2,75,policies
2,79,references
2,81,boaler
2,81,j
2,81,2003
2,81,when
2,81,learning
2,81,no
2,81,longer
2,81,matters
2,81,standardized
2,81,testing
2,81,and
2,81,the
2,81,creation
2,81,of
2,81,inequality
2,81,phi
2,81,delta
2,81,kappan
2,81,84
2,81,7
2,81,502
2,81,506
2,83,brescia
2,83,w
2,83,fortune
2,83,j
2,83,c
2,83,1988
2,83,standardized
2,83,testing
2,83,of
2,83,american
2,83,indian
2,83,students
2,83,eric
2,83,digests
2,85,moon
2,85,t
2,85,r
2,85,brighton
2,85,c
2,85,m
2,85,callahan
2,85,c
2,85,m
2,85,2003
2,85,state
2,85,standardized
2,85,testing
2,85,programs
